JournalCode|JournalLib|EcritureNum|EcritureDate|CompteNum|CompteLib|CompAuxNum|CompAuxLib|PieceRef|PieceDate|EcritureLib|Debit|Credit|EcritureLet|DateLet|ValidDate|Montantdevise|Idevise
AN|À-nouveaux|AN00001|20260101|215000|Matériel industriel|||AN-2026|20260101|À-nouveau 2026|180000,00|0,00|||20260101||
AN|À-nouveaux|AN00001|20260101|281500|Amortissements du matériel industriel|||AN-2026|20260101|À-nouveau 2026|0,00|60000,00|||20260101||
AN|À-nouveaux|AN00001|20260101|370000|Stocks de marchandises|||AN-2026|20260101|À-nouveau 2026|52000,00|0,00|||20260101||
AN|À-nouveaux|AN00001|20260101|411000|Clients|C001|Constructions Vallier|AN-2026|20260101|À-nouveau 2026|96000,00|0,00|AN|20260331|20260101||
AN|À-nouveaux|AN00001|20260101|445660|TVA déductible|||AN-2026|20260101|À-nouveau 2026|8000,00|0,00|||20260101||
AN|À-nouveaux|AN00001|20260101|512000|Banque|||AN-2026|20260101|À-nouveau 2026|38000,00|0,00|||20260101||
AN|À-nouveaux|AN00001|20260101|101000|Capital social|||AN-2026|20260101|À-nouveau 2026|0,00|100000,00|||20260101||
AN|À-nouveaux|AN00001|20260101|110000|Report à nouveau|||AN-2026|20260101|À-nouveau 2026|0,00|96000,00|||20260101||
AN|À-nouveaux|AN00001|20260101|164000|Emprunts auprès des établissements de crédit|||AN-2026|20260101|À-nouveau 2026|0,00|90000,00|||20260101||
AN|À-nouveaux|AN00001|20260101|401000|Fournisseurs|F001|Aciers Delmas|AN-2026|20260101|À-nouveau 2026|0,00|24000,00|AN|20260331|20260101||
AN|À-nouveaux|AN00001|20260101|445710|TVA collectée|||AN-2026|20260101|À-nouveau 2026|0,00|4000,00|||20260101||
VTE|Ventes|VT00002|20260104|411000|Clients|C001|Constructions Vallier|FA-2026-01C001|20260104|Facture Constructions Vallier|41472,00|0,00|LVT00002|20260409|20260104||
VTE|Ventes|VT00002|20260104|706000|Prestations de services|||FA-2026-01C001|20260104|Facture Constructions Vallier|0,00|34560,00|||20260104||
VTE|Ventes|VT00002|20260104|445710|TVA collectée|||FA-2026-01C001|20260104|Facture Constructions Vallier|0,00|6912,00|||20260104||
ACH|Achats|AC00018|20260105|601000|Achats de matières premières|||FF-2026-01F001|20260105|Facture Aciers Delmas|18020,00|0,00|||20260105||
ACH|Achats|AC00018|20260105|445660|TVA déductible|||FF-2026-01F001|20260105|Facture Aciers Delmas|3604,00|0,00|||20260105||
ACH|Achats|AC00018|20260105|401000|Fournisseurs|F001|Aciers Delmas|FF-2026-01F001|20260105|Facture Aciers Delmas|0,00|21624,00|LAC00018|20260219|20260105||
ACH|Achats|AC00028|20260105|613000|Locations||||20260105|Loyer de l'atelier|4500,00|0,00|||20260105||
ACH|Achats|AC00028|20260105|626000|Frais postaux et télécommunications||||20260105|Frais généraux|1800,00|0,00|||20260105||
ACH|Achats|AC00028|20260105|445660|TVA déductible||||20260105|Loyer et frais généraux|1260,00|0,00|||20260105||
ACH|Achats|AC00028|20260105|512000|Banque||||20260105|Loyer et frais généraux|0,00|7560,00|||20260105||
BQ|Banque|BQ00032|20260105|661000|Charges d'intérêts||||20260105|Intérêts de l'emprunt|320,00|0,00|||20260105||
BQ|Banque|BQ00032|20260105|164000|Emprunts auprès des établissements de crédit||||20260105|Amortissement de l'emprunt|1800,00|0,00|||20260105||
BQ|Banque|BQ00032|20260105|512000|Banque||||20260105|Échéance d'emprunt|0,00|2120,00|||20260105||
VTE|Ventes|VT00004|20260107|411000|Clients|C002|Groupe Ambert|FA-2026-01C002|20260107|Facture Groupe Ambert|29184,00|0,00|LVT00004|20260310|20260107||
VTE|Ventes|VT00004|20260107|706000|Prestations de services|||FA-2026-01C002|20260107|Facture Groupe Ambert|0,00|24320,00|||20260107||
VTE|Ventes|VT00004|20260107|445710|TVA collectée|||FA-2026-01C002|20260107|Facture Groupe Ambert|0,00|4864,00|||20260107||
ACH|Achats|AC00020|20260108|601000|Achats de matières premières|||FF-2026-01F002|20260108|Facture Bois du Forez|12720,00|0,00|||20260108||
ACH|Achats|AC00020|20260108|445660|TVA déductible|||FF-2026-01F002|20260108|Facture Bois du Forez|2544,00|0,00|||20260108||
ACH|Achats|AC00020|20260108|401000|Fournisseurs|F002|Bois du Forez|FF-2026-01F002|20260108|Facture Bois du Forez|0,00|15264,00|LAC00020|20260207|20260108||
VTE|Ventes|VT00006|20260110|411000|Clients|C003|Menuiseries Lafon|FA-2026-01C003|20260110|Facture Menuiseries Lafon|21504,00|0,00|LVT00006|20260224|20260110||
VTE|Ventes|VT00006|20260110|706000|Prestations de services|||FA-2026-01C003|20260110|Facture Menuiseries Lafon|0,00|17920,00|||20260110||
VTE|Ventes|VT00006|20260110|445710|TVA collectée|||FA-2026-01C003|20260110|Facture Menuiseries Lafon|0,00|3584,00|||20260110||
ACH|Achats|AC00022|20260112|601000|Achats de matières premières|||FF-2026-01F003|20260112|Facture Quincaillerie Pons|9540,00|0,00|||20260112||
ACH|Achats|AC00022|20260112|445660|TVA déductible|||FF-2026-01F003|20260112|Facture Quincaillerie Pons|1908,00|0,00|||20260112||
ACH|Achats|AC00022|20260112|401000|Fournisseurs|F003|Quincaillerie Pons|FF-2026-01F003|20260112|Facture Quincaillerie Pons|0,00|11448,00|LAC00022|20260313|20260112||
VTE|Ventes|VT00008|20260113|411000|Clients|C004|Atelier Rivaud|FA-2026-01C004|20260113|Facture Atelier Rivaud|16896,00|0,00|LVT00008|20260212|20260113||
VTE|Ventes|VT00008|20260113|706000|Prestations de services|||FA-2026-01C004|20260113|Facture Atelier Rivaud|0,00|14080,00|||20260113||
VTE|Ventes|VT00008|20260113|445710|TVA collectée|||FA-2026-01C004|20260113|Facture Atelier Rivaud|0,00|2816,00|||20260113||
BQ|Banque|BQ00031|20260115|635000|Impôts et taxes||||20260115|Taxes assises sur les salaires|900,00|0,00|||20260115||
BQ|Banque|BQ00031|20260115|512000|Banque||||20260115|Taxes assises sur les salaires|0,00|900,00|||20260115||
VTE|Ventes|VT00010|20260116|411000|Clients|C005|Solutions Bertholet|FA-2026-01C005|20260116|Facture Solutions Bertholet|13824,00|0,00|LVT00010|20260225|20260116||
VTE|Ventes|VT00010|20260116|706000|Prestations de services|||FA-2026-01C005|20260116|Facture Solutions Bertholet|0,00|11520,00|||20260116||
VTE|Ventes|VT00010|20260116|445710|TVA collectée|||FA-2026-01C005|20260116|Facture Solutions Bertholet|0,00|2304,00|||20260116||
ACH|Achats|AC00024|20260117|601000|Achats de matières premières|||FF-2026-01F004|20260117|Facture Transports Vialle|6890,00|0,00|||20260117||
ACH|Achats|AC00024|20260117|445660|TVA déductible|||FF-2026-01F004|20260117|Facture Transports Vialle|1378,00|0,00|||20260117||
ACH|Achats|AC00024|20260117|401000|Fournisseurs|F004|Transports Vialle|FF-2026-01F004|20260117|Facture Transports Vialle|0,00|8268,00|LAC00024|20260216|20260117||
VTE|Ventes|VT00012|20260119|411000|Clients|C006|Charpentes Ozanne|FA-2026-01C006|20260119|Facture Charpentes Ozanne|12288,00|0,00|LVT00012|20260315|20260119||
VTE|Ventes|VT00012|20260119|706000|Prestations de services|||FA-2026-01C006|20260119|Facture Charpentes Ozanne|0,00|10240,00|||20260119||
VTE|Ventes|VT00012|20260119|445710|TVA collectée|||FA-2026-01C006|20260119|Facture Charpentes Ozanne|0,00|2048,00|||20260119||
ACH|Achats|AC00026|20260121|601000|Achats de matières premières|||FF-2026-01F005|20260121|Facture Énergie Cévennes|5830,00|0,00|||20260121||
ACH|Achats|AC00026|20260121|445660|TVA déductible|||FF-2026-01F005|20260121|Facture Énergie Cévennes|1166,00|0,00|||20260121||
ACH|Achats|AC00026|20260121|401000|Fournisseurs|F005|Énergie Cévennes|FF-2026-01F005|20260121|Facture Énergie Cévennes|0,00|6996,00|LAC00026|20260220|20260121||
VTE|Ventes|VT00014|20260122|411000|Clients|C007|Escaliers Mory|FA-2026-01C007|20260122|Facture Escaliers Mory|10752,00|0,00|LVT00014|20260226|20260122||
VTE|Ventes|VT00014|20260122|706000|Prestations de services|||FA-2026-01C007|20260122|Facture Escaliers Mory|0,00|8960,00|||20260122||
VTE|Ventes|VT00014|20260122|445710|TVA collectée|||FA-2026-01C007|20260122|Facture Escaliers Mory|0,00|1792,00|||20260122||
VTE|Ventes|VT00016|20260125|411000|Clients|C008|Diffusion Nadaud|FA-2026-01C008|20260125|Facture Diffusion Nadaud|7680,00|0,00|LVT00016|20260219|20260125||
VTE|Ventes|VT00016|20260125|706000|Prestations de services|||FA-2026-01C008|20260125|Facture Diffusion Nadaud|0,00|6400,00|||20260125||
VTE|Ventes|VT00016|20260125|445710|TVA collectée|||FA-2026-01C008|20260125|Facture Diffusion Nadaud|0,00|1280,00|||20260125||
OD|Opérations diverses|OD00029|20260128|641000|Rémunérations du personnel||||20260128|Salaires du mois|28000,00|0,00|||20260128||
OD|Opérations diverses|OD00029|20260128|645000|Charges de sécurité sociale||||20260128|Charges sociales|11000,00|0,00|||20260128||
OD|Opérations diverses|OD00029|20260128|421000|Personnel — rémunérations dues||||20260128|Salaires du mois|0,00|28000,00|||20260128||
OD|Opérations diverses|OD00029|20260128|431000|Sécurité sociale||||20260128|Charges sociales|0,00|11000,00|||20260128||
BQ|Banque|BQ00030|20260128|421000|Personnel — rémunérations dues||||20260128|Virement des salaires|28000,00|0,00|||20260128||
BQ|Banque|BQ00030|20260128|431000|Sécurité sociale||||20260128|Versement des cotisations|11000,00|0,00|||20260128||
BQ|Banque|BQ00030|20260128|512000|Banque||||20260128|Paie du mois|0,00|39000,00|||20260128||
OD|Opérations diverses|OD00033|20260131|681100|Dotations aux amortissements||||20260131|Dotation du mois|2500,00|0,00|||20260131||
OD|Opérations diverses|OD00033|20260131|281500|Amortissements du matériel industriel||||20260131|Dotation du mois|0,00|2500,00|||20260131||
OD|Opérations diverses|OD00034|20260131|695000|Impôts sur les bénéfices||||20260131|Impôt sur les sociétés|2400,00|0,00|||20260131||
OD|Opérations diverses|OD00034|20260131|444000|État — impôt sur les bénéfices||||20260131|Impôt sur les sociétés|0,00|2400,00|||20260131||
BQ|Banque|BQ00035|20260131|444000|État — impôt sur les bénéfices||||20260131|Acompte d'impôt sur les sociétés|2400,00|0,00|||20260131||
BQ|Banque|BQ00035|20260131|512000|Banque||||20260131|Acompte d'impôt sur les sociétés|0,00|2400,00|||20260131||
OD|Opérations diverses|OD00036|20260131|445710|TVA collectée||||20260131|Déclaration de TVA|25600,00|0,00|||20260131||
OD|Opérations diverses|OD00036|20260131|445660|TVA déductible||||20260131|Déclaration de TVA|0,00|11860,00|||20260131||
OD|Opérations diverses|OD00036|20260131|512000|Banque||||20260131|Règlement de TVA|0,00|13740,00|||20260131||
VTE|Ventes|VT00037|20260204|411000|Clients|C001|Constructions Vallier|FA-2026-02C001|20260204|Facture Constructions Vallier|43416,00|0,00|LVT00037|20260510|20260204||
VTE|Ventes|VT00037|20260204|706000|Prestations de services|||FA-2026-02C001|20260204|Facture Constructions Vallier|0,00|36180,00|||20260204||
VTE|Ventes|VT00037|20260204|445710|TVA collectée|||FA-2026-02C001|20260204|Facture Constructions Vallier|0,00|7236,00|||20260204||
ACH|Achats|AC00053|20260205|601000|Achats de matières premières|||FF-2026-02F001|20260205|Facture Aciers Delmas|18700,00|0,00|||20260205||
ACH|Achats|AC00053|20260205|445660|TVA déductible|||FF-2026-02F001|20260205|Facture Aciers Delmas|3740,00|0,00|||20260205||
ACH|Achats|AC00053|20260205|401000|Fournisseurs|F001|Aciers Delmas|FF-2026-02F001|20260205|Facture Aciers Delmas|0,00|22440,00|LAC00053|20260322|20260205||
ACH|Achats|AC00063|20260205|613000|Locations||||20260205|Loyer de l'atelier|4500,00|0,00|||20260205||
ACH|Achats|AC00063|20260205|626000|Frais postaux et télécommunications||||20260205|Frais généraux|1800,00|0,00|||20260205||
ACH|Achats|AC00063|20260205|445660|TVA déductible||||20260205|Loyer et frais généraux|1260,00|0,00|||20260205||
ACH|Achats|AC00063|20260205|512000|Banque||||20260205|Loyer et frais généraux|0,00|7560,00|||20260205||
BQ|Banque|BQ00067|20260205|661000|Charges d'intérêts||||20260205|Intérêts de l'emprunt|320,00|0,00|||20260205||
BQ|Banque|BQ00067|20260205|164000|Emprunts auprès des établissements de crédit||||20260205|Amortissement de l'emprunt|1800,00|0,00|||20260205||
BQ|Banque|BQ00067|20260205|512000|Banque||||20260205|Échéance d'emprunt|0,00|2120,00|||20260205||
BQ|Banque|BQ00021|20260207|401000|Fournisseurs|F002|Bois du Forez|FF-2026-01F002|20260207|Règlement Bois du Forez|15264,00|0,00|LAC00020|20260207|20260207||
BQ|Banque|BQ00021|20260207|512000|Banque|||FF-2026-01F002|20260207|Règlement Bois du Forez|0,00|15264,00|||20260207||
VTE|Ventes|VT00039|20260207|411000|Clients|C002|Groupe Ambert|FA-2026-02C002|20260207|Facture Groupe Ambert|30552,00|0,00|LVT00039|20260410|20260207||
VTE|Ventes|VT00039|20260207|706000|Prestations de services|||FA-2026-02C002|20260207|Facture Groupe Ambert|0,00|25460,00|||20260207||
VTE|Ventes|VT00039|20260207|445710|TVA collectée|||FA-2026-02C002|20260207|Facture Groupe Ambert|0,00|5092,00|||20260207||
ACH|Achats|AC00055|20260208|601000|Achats de matières premières|||FF-2026-02F002|20260208|Facture Bois du Forez|13200,00|0,00|||20260208||
ACH|Achats|AC00055|20260208|445660|TVA déductible|||FF-2026-02F002|20260208|Facture Bois du Forez|2640,00|0,00|||20260208||
ACH|Achats|AC00055|20260208|401000|Fournisseurs|F002|Bois du Forez|FF-2026-02F002|20260208|Facture Bois du Forez|0,00|15840,00|LAC00055|20260310|20260208||
VTE|Ventes|VT00041|20260210|411000|Clients|C003|Menuiseries Lafon|FA-2026-02C003|20260210|Facture Menuiseries Lafon|22512,00|0,00|LVT00041|20260327|20260210||
VTE|Ventes|VT00041|20260210|706000|Prestations de services|||FA-2026-02C003|20260210|Facture Menuiseries Lafon|0,00|18760,00|||20260210||
VTE|Ventes|VT00041|20260210|445710|TVA collectée|||FA-2026-02C003|20260210|Facture Menuiseries Lafon|0,00|3752,00|||20260210||
BQ|Banque|BQ00009|20260212|512000|Banque|||FA-2026-01C004|20260212|Règlement Atelier Rivaud|16896,00|0,00|||20260212||
BQ|Banque|BQ00009|20260212|411000|Clients|C004|Atelier Rivaud|FA-2026-01C004|20260212|Règlement Atelier Rivaud|0,00|16896,00|LVT00008|20260212|20260212||
ACH|Achats|AC00057|20260212|601000|Achats de matières premières|||FF-2026-02F003|20260212|Facture Quincaillerie Pons|9900,00|0,00|||20260212||
ACH|Achats|AC00057|20260212|445660|TVA déductible|||FF-2026-02F003|20260212|Facture Quincaillerie Pons|1980,00|0,00|||20260212||
ACH|Achats|AC00057|20260212|401000|Fournisseurs|F003|Quincaillerie Pons|FF-2026-02F003|20260212|Facture Quincaillerie Pons|0,00|11880,00|LAC00057|20260413|20260212||
VTE|Ventes|VT00043|20260213|411000|Clients|C004|Atelier Rivaud|FA-2026-02C004|20260213|Facture Atelier Rivaud|17688,00|0,00|LVT00043|20260315|20260213||
VTE|Ventes|VT00043|20260213|706000|Prestations de services|||FA-2026-02C004|20260213|Facture Atelier Rivaud|0,00|14740,00|||20260213||
VTE|Ventes|VT00043|20260213|445710|TVA collectée|||FA-2026-02C004|20260213|Facture Atelier Rivaud|0,00|2948,00|||20260213||
BQ|Banque|BQ00066|20260215|635000|Impôts et taxes||||20260215|Taxes assises sur les salaires|900,00|0,00|||20260215||
BQ|Banque|BQ00066|20260215|512000|Banque||||20260215|Taxes assises sur les salaires|0,00|900,00|||20260215||
BQ|Banque|BQ00025|20260216|401000|Fournisseurs|F004|Transports Vialle|FF-2026-01F004|20260216|Règlement Transports Vialle|8268,00|0,00|LAC00024|20260216|20260216||
BQ|Banque|BQ00025|20260216|512000|Banque|||FF-2026-01F004|20260216|Règlement Transports Vialle|0,00|8268,00|||20260216||
VTE|Ventes|VT00045|20260216|411000|Clients|C005|Solutions Bertholet|FA-2026-02C005|20260216|Facture Solutions Bertholet|14472,00|0,00|LVT00045|20260328|20260216||
VTE|Ventes|VT00045|20260216|706000|Prestations de services|||FA-2026-02C005|20260216|Facture Solutions Bertholet|0,00|12060,00|||20260216||
VTE|Ventes|VT00045|20260216|445710|TVA collectée|||FA-2026-02C005|20260216|Facture Solutions Bertholet|0,00|2412,00|||20260216||
ACH|Achats|AC00059|20260217|601000|Achats de matières premières|||FF-2026-02F004|20260217|Facture Transports Vialle|7150,00|0,00|||20260217||
ACH|Achats|AC00059|20260217|445660|TVA déductible|||FF-2026-02F004|20260217|Facture Transports Vialle|1430,00|0,00|||20260217||
ACH|Achats|AC00059|20260217|401000|Fournisseurs|F004|Transports Vialle|FF-2026-02F004|20260217|Facture Transports Vialle|0,00|8580,00|LAC00059|20260319|20260217||
BQ|Banque|BQ00017|20260219|512000|Banque|||FA-2026-01C008|20260219|Règlement Diffusion Nadaud|7680,00|0,00|||20260219||
BQ|Banque|BQ00017|20260219|411000|Clients|C008|Diffusion Nadaud|FA-2026-01C008|20260219|Règlement Diffusion Nadaud|0,00|7680,00|LVT00016|20260219|20260219||
BQ|Banque|BQ00019|20260219|401000|Fournisseurs|F001|Aciers Delmas|FF-2026-01F001|20260219|Règlement Aciers Delmas|21624,00|0,00|LAC00018|20260219|20260219||
BQ|Banque|BQ00019|20260219|512000|Banque|||FF-2026-01F001|20260219|Règlement Aciers Delmas|0,00|21624,00|||20260219||
